# Benchmark Compact (n = 268,435,456, r = 1/8)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB	ParlayLib
1	0.4133888	0.49975476	0.5055553	1.1175685	1.0373702	1.0178337	1.0838714	0.1548912
2	0.7505281	0.9724131	0.9788489	1.1702441	1.3140401	1.0583398	1.2170006	0.26943612
3	0.96333575	1.3962456	1.4360845	1.3121508	1.6828426	1.544296	1.4011831	0.36151293
4	1.1501971	1.7936141	1.8908123	1.4411573	2.0531614	2.0235598	1.6301332	0.4305412
6	1.3956991	2.3818865	2.737529	1.5931267	2.6080232	2.9165177	1.7100865	0.5437536
8	1.4799677	2.7838318	3.5139139	1.6300366	2.9588213	3.7041183	1.8781797	0.6188967
10	1.4450072	2.8839765	3.8833969	1.5766393	3.0436075	4.098195	1.8649377	0.63313466
12	1.4414486	2.95247	4.2298956	1.54959	3.0737772	4.349022	1.8455626	0.6378047
14	1.4163014	2.9678502	4.529473	1.5130391	3.074808	4.6059604	1.8611344	0.6400093
16	1.4119916	2.996157	4.793299	1.5001091	3.1006522	4.8363976	1.8634398	0.63844544
20	1.3976846	2.9884846	5.105143	1.4552283	3.0580108	5.088819	1.8819977	0.647897
24	1.3889542	2.9737628	5.2316346	1.4381437	3.0131752	5.212517	1.8986049	0.64850795
28								
32								
