# Benchmark Compact (n = 268,435,456, r = 1/2)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB	ParlayLib
1	0.39004102	0.47119865	0.54643106	0.99544185	0.99129945	0.98863614	0.9814065	0.14521882
2	0.68109417	0.8963323	1.02755	1.0097888	1.2290517	1.0366224	1.090384	0.24972929
3	0.8318194	1.2213655	1.4779261	1.0917846	1.5008373	1.4901639	1.2094043	0.32904106
4	0.9691861	1.5386701	1.900275	1.1767042	1.7622844	1.925805	1.3361502	0.39430806
6	1.136441	1.9913217	2.5988028	1.2796729	2.1624045	2.612604	1.3989552	0.49350956
8	1.1801482	2.229786	3.0941703	1.2892046	2.3289766	3.09544	1.5100884	0.5549925
10	1.1531695	2.238941	3.2265728	1.2387987	2.3263133	3.2212338	1.4955804	0.5620743
12	1.1433452	2.247139	3.2845247	1.2284012	2.319607	3.290016	1.4843727	0.56841314
14	1.1240717	2.2087574	3.3362143	1.1927516	2.2712708	3.3406465	1.4855176	0.56565154
16	1.1208289	2.2229958	3.3666134	1.1795561	2.2773278	3.3706875	1.491711	0.56201667
20	1.1121465	2.138724	3.2006752	1.1451967	2.166234	3.206571	1.4921659	0.5697889
24	1.1051742	2.0753243	3.0415637	1.1333392	2.1048574	3.0463746	1.4915881	0.57021415
28								
32								
