# Benchmark Compact (n = 33,554,432, r = 1/8)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB	ParlayLib
1	0.41014633	0.49934667	0.5039878	1.1148877	1.038654	1.0222486	1.0896583	0.2914135
2	0.7533638	0.96928215	0.9704152	1.1672081	1.3064193	1.045964	1.2178663	0.48690516
3	0.9674516	1.392884	1.421839	1.3034487	1.6713641	1.5274712	1.4394356	0.622521
4	1.155611	1.7853912	1.8598686	1.4338634	2.0245543	1.9968483	1.5948596	0.74628806
6	1.4140726	2.3963373	2.6677008	1.5994154	2.5824306	2.8488936	1.7578855	0.8661678
8	1.5069162	2.8211858	3.4053748	1.6362648	2.9443562	3.611761	1.9027898	0.9126957
10	1.434205	2.8678975	3.765994	1.5871844	3.070135	3.974905	1.8011521	0.8737751
12	1.4205806	2.8850808	4.0470667	1.5623621	3.1239133	4.1682825	1.8202162	0.86451936
14	1.401397	2.9211357	4.3434963	1.5328197	3.1897192	4.4281774	1.8189785	0.8485532
16	1.3948207	2.9429166	4.582413	1.5158346	3.2208695	4.6335645	1.8380029	0.84087735
20	1.3779762	2.9257505	4.8403697	1.4693928	3.1629007	4.838424	1.8444802	0.8357401
24	1.3584608	2.9130065	4.914472	1.4536892	3.1105943	4.9356294	1.8669355	0.82966334
28								
32								
