# Benchmark Compact (n = 268,435,456, r = 1/2)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.40975884	0.46790704	0.5139042	0.9584352	0.98542887	0.97999966	0.8936708
2	0.6976113	0.88620186	0.97617555	1.0411757	1.2127565	1.1032166	0.8809945
3	0.8200393	1.2074711	1.3917238	1.087538	1.4683958	1.4524795	1.0442742
4	0.9265551	1.4633209	1.6818126	1.1578103	1.6019717	1.7851833	1.1128209
6	1.1029198	1.8658295	2.2546031	1.2582123	1.9823271	2.3079462	1.2593105
8	1.1641022	2.136481	2.690263	1.2829676	2.2700112	2.823115	1.3819984
10	1.1301907	2.0415633	2.8447998	1.2325048	2.1785176	2.8939126	1.3883386
12	1.1158845	2.0953786	3.006551	1.2094305	2.1896517	3.0354936	1.4011186
14	1.1022323	2.1043997	3.114753	1.1759881	2.1934063	3.1577787	1.3848209
16	1.0974573	2.1397252	3.183585	1.1663078	2.2122383	3.1979787	1.3838859
20							
24							
28							
32							
