# Benchmark Prefix-sum (n = 67,108,864)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.5659993	0.623079	0.77244604	0.9953478	0.9975265	0.9854258	0.98863244
2	0.8583106	0.99517393	1.2121502	1.1616324	1.2095122	1.2930795	1.0763853
3	1.0328634	1.2513249	1.4990296	1.4231021	1.7512873	1.5363247	1.2317423
4	1.187513	1.4988325	1.8300538	1.592313	2.078825	1.8022621	1.4877738
6	1.3329043	1.8436767	2.4524808	1.794032	2.677084	2.3618555	1.6845452
8	1.3970141	1.9196293	2.6024785	1.9523605	2.789667	2.608586	1.9145486
10	1.3394862	1.7978538	2.511546	1.8156176	2.6835473	2.5183465	1.9098948
12	1.3328654	1.7960117	2.47405	1.7861567	2.5597932	2.4779513	1.9072571
14	1.32369	1.7436486	2.4511619	1.7854568	2.6279914	2.4008007	1.8933111
16	1.3265413	1.7443827	2.35636	1.752028	2.6527736	2.3742836	1.9016066
20							
24							
28							
32							
