# Benchmark Compact (n = 33,554,432, r = 1/2)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.43372557	0.49416304	0.5410551	1.0058776	1.03867	1.033785	0.9465471
2	0.74139744	0.9217127	1.0133226	1.0811335	1.2535447	1.129236	0.8358568
3	0.87913257	1.2563053	1.4234197	1.1232536	1.4666381	1.5022259	1.0974258
4	0.98232883	1.5294605	1.7823985	1.2225851	1.753568	1.9362372	1.1969924
6	1.186324	1.9930954	2.3326843	1.3424665	2.1530373	2.5748522	1.3086629
8	1.2287927	2.1399608	2.7325501	1.3545341	2.2505167	2.7328618	1.4763079
10	1.1818764	2.0268166	2.6689317	1.3111695	2.1384327	2.6033902	1.4899876
12	1.1709594	2.0643632	2.718906	1.2913119	2.205357	2.8263535	1.4892466
14	1.1540388	2.0790524	2.8734708	1.2564372	2.2043426	2.9058824	1.486936
16	1.1469673	2.086294	2.8758852	1.2383832	2.2073889	2.9401155	1.4924006
20							
24							
28							
32							
