# Benchmark Compact (n = 268,435,456, r = 1/8)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.3854673	0.46399003	0.42985532	0.86208624	0.8690533	0.91291136	0.69978267
2	0.69156456	0.8898344	0.832448	0.9815036	1.1235647	0.97939694	0.74709207
3	0.85849106	1.2803842	1.2144692	1.1134846	1.4506384	1.3020318	0.9375055
4	0.9741418	1.5825366	1.5956615	1.2519974	1.7622652	1.6204185	1.1134992
6	1.192123	2.0580304	2.2385812	1.3663301	2.1524103	2.2489655	1.3184993
8	1.2946532	2.4030302	2.807581	1.4254951	2.4786997	2.840763	1.4746684
10	1.2544453	2.394332	3.0521157	1.3815391	2.5102377	2.932284	1.4687288
12	1.243187	2.4895477	3.3658633	1.3516879	2.610337	3.3588412	1.4856317
14	1.2292267	2.5268145	3.5991986	1.3170441	2.638548	3.5930605	1.4772214
16	1.2232265	2.5802627	3.8955443	1.3129606	2.672597	3.8780167	1.4666965
20							
24							
28							
32							
