# Benchmark Prefix-sum (n = 67,108,864)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.59178865	0.6463766	0.71911633	1.0669137	1.0692769	1.0557499	1.0042083
2	0.89808244	1.0596002	1.1730467	1.1785761	1.4685043	1.2326033	1.1534277
3	1.153873	1.3595165	1.4251198	1.5735132	1.8570752	1.4401964	1.3853863
4	1.331537	1.5305336	1.583998	1.736861	2.114203	1.5895747	1.7428421
6	1.573671	1.8742124	1.9626595	1.9190875	2.5070107	1.9492483	1.8405725
8	1.669673	2.069855	2.4268367	2.1102219	2.8404996	2.3940642	2.05058
10	1.6664808	2.074919	2.5351646	2.0732055	2.9145033	2.522225	2.0710845
12	1.6587726	2.0540028	2.5640628	2.100405	3.0793915	2.559566	2.0461674
14	1.6518741	2.0705378	2.6070955	2.1202743	3.0790894	2.587532	2.0749876
16	1.6431807	1.9894754	2.5973842	2.0844295	3.0921364	2.6301496	2.0579767
20							
24							
28							
32							
