# Benchmark Compact (n = 268,435,456, r = 1/8)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.49092725	0.50073206	0.5432498	0.9861909	0.9837676	1.0050048	0.8883466
2	0.8719058	0.99633735	1.0558872	1.209969	1.3040566	1.2415837	1.0186532
3	1.1417372	1.4770837	1.5306135	1.4464178	1.750225	1.6260701	1.332138
4	1.2763786	1.8907515	1.9947176	1.5361474	2.124103	2.0352402	1.6329186
6	1.6035087	2.719499	2.7338052	1.8290504	2.9222026	2.768771	2.0281124
8	1.7681378	3.4865274	3.7324045	1.9747683	3.6687632	3.7563953	2.639526
10	1.8441244	3.7524197	3.8561761	1.9720832	3.9173408	3.9991353	2.6029007
12	1.860392	3.8733082	4.17954	1.9467326	4.0016427	4.2550607	2.6011183
14	1.9014891	4.0560703	4.5227847	1.9880438	4.14501	4.61275	2.6186225
16	1.9031564	4.0497384	4.977568	1.9858415	4.1877685	4.9807534	2.5413513
20							
24							
28							
32							
