# Benchmark Scan (n = 536,870,912)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Our chained scan
1	0.5572156	0.5984417	0.6692413	0.9991594	1.001104	0.99732065
2	0.85496694	0.9898823	1.0823597	1.164749	1.3447295	1.1683571
3	1.0850892	1.2893481	1.3862011	1.3989465	1.6048183	1.4460825
4	1.3038948	1.5457966	1.6264921	1.7027133	2.1260595	1.6417431
6	1.5070829	1.8049585	2.0151122	1.9124827	2.4270992	2.0095348
8	1.5547663	1.9417353	2.3830497	1.9452533	2.8704364	2.3816783
10	1.5433964	1.9352883	2.4204147	1.9537269	2.8714142	2.4192827
12	1.5315677	1.9336361	2.4521353	1.8889142	2.8003888	2.4504457
14	1.5186008	1.9268675	2.5086324	1.9197655	2.9167643	2.5024133
16	1.5069133	1.9164923	2.5197825	1.8698667	2.9811335	2.5188346
20						
24						
28						
32						
