# Benchmark Compact (n = 268,435,456, r = 1/2)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.47683161	0.5158067	0.5378472	1.0064062	0.9627831	0.9973161	1.0133797
2	0.8515989	1.0216396	1.0448749	1.0321542	1.2996429	1.2101494	0.9049772
3	1.1278744	1.5099297	1.4977645	1.249999	1.7501689	1.6123078	1.4196332
4	1.28119	1.8861369	1.9092625	1.4227468	2.106282	1.9954953	1.5784721
6	1.6924864	2.605895	2.6770515	1.80836	2.771484	2.6983361	1.9240586
8	1.8209285	3.1664457	3.4449992	1.9379807	3.3183448	3.4566007	2.4230685
10	1.8099446	3.2604666	3.6708646	1.8759528	3.3969266	3.6617613	2.4657853
12	1.7911959	3.3389468	3.879758	1.8331636	3.409414	3.9456437	2.4283993
14	1.7919776	3.388516	4.1400657	1.8322856	3.4804714	4.052945	2.4708886
16	1.7787511	3.4153976	4.32277	1.8239769	3.4920962	4.301012	2.4567883
20							
24							
28							
32							
